q_id,questions,answer
19,我不想要用台水App了，要怎麼把我的個資和帳號全部刪掉？,依個資法規定，您可請求刪除帳號。若要行使刪除權利，請聯繫台水客服專線 (04)2224-4191 或寄信至 twcmobile@mail.water.gov.tw 申請刪除、停止處理或利用個人資料。
20,頂樓水塔常常沒水，我可以直接在一樓裝馬達抽水上去嗎？,不行。依規定抽水馬達不可直接接在自來水供水管上（會造成負壓吸入污水污染管網），必須改為「間接抽水」，即先讓水流入蓄水池後，再用馬達抽送至頂樓水塔。
21,救命，我打開水龍頭流出來是白色的，是不是有毒？,這通常是「白濁」現象，並非有毒。這是因為管線內空氣與水混合產生大量微小氣泡，看起來像牛奶。靜置幾秒鐘氣泡消失後就會變清澈，與水質無關，請安心使用。
22,我要搬家了，那個水費要怎麼處理才不會繼續算我的錢？,您需要辦理「中間結帳」或「停用」。若有新住戶接手，可辦理過戶；若房屋將空置，建議申請停用。請洽當地服務所或透過網路申請結算水費，以免後續產生爭議。
23,我覺得我家水費怪怪的，平常沒用這麼多，是不是你們算錯？,水費突增常見原因包括：1. 內部管線或馬桶漏水（最常見）。2. 抄表錯誤。3. 水表故障。建議先自行檢查馬桶是否漏水，或關閉所有水龍頭看水表指針是否轉動。若無漏水，可向台水申請複查或驗表。
24,我不喜歡那個紙張的單子，很不環保，有沒有別的方式？,有的，您可以申請「電子帳單（Email）」或「簡訊帳單」。申請成功後不再寄送紙本，且至114年底前每期水費還可減免5元。可至台水官網「網路e櫃台」申辦。
25,喝起來有一股藥味，這水是不是不乾淨？,那通常是「氯」的味道（消毒水味）。為了殺菌確保衛生，自來水會添加微量的氯。這表示水質是安全的。若不喜歡味道，可將水煮沸後開蓋多煮3-5分鐘讓氣味揮發。
26,我想把名字改成我的，原本是前屋主的，要帶什麼去？,這需要辦理「過戶」。請準備：1. 近期水費單。2. 您的身分證及印章。3. 建物所有權狀（證明您是新屋主）。若前屋主無法陪同，只要您有產權證明並繳清欠費即可單獨辦理。
27,熱水瓶底下都有白白的垢，那個吃下去會不會結石？,那個白垢是「碳酸鈣」（俗稱石灰質），是天然礦物質（鈣、鎂）加熱後的沉澱。醫學研究顯示這與腎結石無直接關係，人體也需要礦物質。台水供應的水質硬度均符合標準，請安心飲用。
28,我忘了繳錢，現在半夜超商還能繳嗎？還是會被斷水？,若僅逾期幾天（在代收期限內），仍可至超商繳費（需加收遲延金）。若已超過兩個月未繳，可能會被停水。半夜若有繳費需求，可使用線上刷卡或行動支付APP繳納，銷帳速度較快。
29,為什麼洗澡水忽大忽小，樓上根本洗不痛快！,這通常是水壓問題。若您住樓層較高，自來水自然壓力可能不足。建議檢查是否已安裝蓄水池與加壓馬達，改採「間接供水」（先抽到頂樓水塔再往下流），以穩定水壓。
30,我覺得隔壁好像偷接我的水管，水費變好多，要去哪裡講？,若懷疑遭「竊水」或盜用，可向台水公司檢舉。台水會保密檢舉人身分。若查證屬實並追回水費，檢舉人還可獲得獎金。請撥打1910或向當地營運所反映。
